公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称
002469,三维工程,山东三维石化工程股份有限公司,"SHANDONG SUNWAY PETROCHEMICAL ENGINEERING CO.,LTD.",山东省淄博市临淄区炼厂中路22号,2469,三维工程
002470,金正大,金正大生态工程集团股份有限公司,"Kingenta Ecological Engineering Group Co., Ltd.",山东省临沭县兴大西街19号,2470,金正大
002471,中超电缆,江苏中超电缆股份有限公司,"Jiangsu Zhongchao Cable CO.,LTD.",江苏省宜兴市西郊工业园振丰东路999号,2471,中超电缆
002472,双环传动,浙江双环传动机械股份有限公司,"ZHEJIANG SHUANGHUAN DRIVELINE CO.,LTD",浙江省玉环县机电工业园区1-14号,2472,双环传动
002473,圣莱达,宁波圣莱达电器股份有限公司,"NINGBO SUNLIGHT ELECTRICAL APPLIANCE CO.,LTD.",浙江省宁波市江北区金山路298号,2473,圣莱达
002474,榕基软件,福建榕基软件股份有限公司,"Fujian Rongji Software Co., Ltd.",福建省福州市鼓楼区铜盘路福州软件园产业基地,2474,榕基软件
002475,立讯精密,立讯精密工业股份有限公司,"Luxshare Precision Industry Co.,LTD.",广东省深圳市宝安区西乡街道洲石路翻身工业厂房G1（1-3层）,2475,立讯精密
002476,宝莫股份,山东宝莫生物化工股份有限公司,"SHANDONG POLYMER BIOCHEMICALS CO.,LTD.",山东省东营市东营区西四路892号,2476,宝莫股份
002477,雏鹰农牧,雏鹰农牧集团股份有限公司,"CHUYING AGRO-PASTORAL GROUP CO.,LTD",河南省新郑市薛店镇,2477,雏鹰农牧
002478,常宝股份,江苏常宝钢管股份有限公司,"Jiangsu Changbao Steeltube Co., Ltd.",江苏省常州市延陵东路558号,2478,常宝股份
002479,富春环保,浙江富春江环保热电股份有限公司,"Zhejiang Fuchunjiang Environmental Thermoelectric Co.,LTD.",浙江省富阳市灵桥镇春永路188号,2479,富春环保
002480,新筑股份,成都市新筑路桥机械股份有限公司,"Chengdu Xinzhu Road&Bridge Machinery Co.,LTD",四川省成都市四川新津工业园区,2480,新筑股份
002481,双塔食品,烟台双塔食品股份有限公司,"YAN TAI SHUANG TA FOOD CO.,LTD,",山东省招远市金岭镇寨里,2481,双塔食品
002482,广田股份,深圳广田装饰集团股份有限公司,"SHENZHEN GRANDLAND DECORATION GROUP CO.,LTD.",广东省深圳市罗湖区沿河北路1003号京基东方都会大厦1-2层,2482,广田股份
002483,润邦股份,江苏润邦重工股份有限公司,"Jiangsu Rainbow Heavy Industries Co.,Ltd.",江苏省南通经济技术开发区振兴西路9号,2483,润邦股份
002484,江海股份,南通江海电容器股份有限公司,"Nantong Jianghai Capacitor Co.,Ltd.",江苏省南通市通州区平潮通扬南路79号,2484,江海股份
002485,希努尔,希努尔男装股份有限公司,"Sinoer Men""s Wear Co.,Ltd.",山东省诸城市东环路58号,2485,希努尔
002486,嘉麟杰,上海嘉麟杰纺织品股份有限公司,Shanghai Challenge Textile Company Limited,上海市金山区亭林镇亭枫公路1918号,2486,嘉麟杰
002487,大金重工,辽宁大金重工股份有限公司,Dajin Heavy Industry Corporation,辽宁省阜新市新邱区新邱大街155号,2487,大金重工
002488,金固股份,浙江金固股份有限公司,Zhejiang Jingu Company Limited,浙江省富阳市富春街道公园西路1181号,2488,金固股份
002489,浙江永强,浙江永强集团股份有限公司,"YOTRIO GROUP CO., LTD",浙江省临海市前江南路1号,2489,浙江永强
002490,山东墨龙,山东墨龙石油机械股份有限公司,"Shandong Molong Petroleum Machinery Co.,Ltd",山东省寿光市北环路99号,2490,山东墨龙
002491,通鼎光电,江苏通鼎光电股份有限公司,"JIANGSU TONGDING OPTIC-ELECTRONIC STOCK CO.,LTD",江苏省吴江市震泽镇八都经济开发区小平大道8号,2491,通鼎光电
002492,恒基达鑫,珠海恒基达鑫国际化工仓储股份有限公司,"Zhuhai Winbase International Chemical Tank Terminal Co., Ltd.",广东省珠海市高栏港经济区南迳湾,2492,恒基达鑫
002493,荣盛石化,荣盛石化股份有限公司,"RONGSHENG PETRO CHEMICAL CO., LTD.",浙江省杭州市萧山区益农镇红阳路98号,2493,荣盛石化
